transaction_id,arrival_timestamp,order_type,service_duration_min
20251006-0086,2025-10-06T10:41:52,espresso,2.9644
20251006-0087,2025-10-06T10:43:45,blended,4.4581
20251006-0088,2025-10-06T10:44:23,espresso,2.9452
20251006-0089,2025-10-06T10:53:15,blended,2.6867
20251006-0090,2025-10-06T10:53:42,espresso,3.9303
20251006-0091,2025-10-06T10:56:38,espresso,1.3530
20251006-0092,2025-10-06T11:03:59,espresso,3.6522
20251006-0093,2025-10-06T11:04:39,drip,1.3566
20251006-0094,2025-10-06T11:06:21,espresso,3.7519
20251006-0095,2025-10-06T11:06:39,blended,5.0306
20251006-0096,2025-10-06T11:07:02,espresso,3.8026
20251006-0097,2025-10-06T11:07:05,espresso,4.4188
20251006-0098,2025-10-06T11:12:28,espresso,5.1454
20251006-0099,2025-10-06T11:13:39,espresso,2.8508
20251006-0100,2025-10-06T11:15:57,drip,2.5529
20251006-0101,2025-10-06T11:18:51,drip,1.7548
20251006-0102,2025-10-06T11:19:27,blended,4.9245
20251006-0103,2025-10-06T11:29:14,espresso,4.6331
20251006-0104,2025-10-06T11:31:03,blended,3.4973
20251006-0105,2025-10-06T11:31:18,drip,1.0039
20251006-0106,2025-10-06T11:31:40,drip,1.5303
20251006-0107,2025-10-06T11:33:19,espresso,4.9015
20251006-0108,2025-10-06T11:33:44,drip,1.4781
20251006-0109,2025-10-06T11:34:50,espresso,4.7933
20251006-0110,2025-10-06T11:37:18,espresso,2.4140
20251006-0111,2025-10-06T11:37:27,espresso,3.0724
20251006-0112,2025-10-06T11:38:38,espresso,3.3043
20251006-0113,2025-10-06T11:43:52,drip,1.4762
20251006-0114,2025-10-06T11:44:07,drip,1.8904
20251006-0115,2025-10-06T11:47:21,espresso,1.9209
20251006-0116,2025-10-06T11:47:31,espresso,2.9363
20251006-0117,2025-10-06T11:56:27,blended,4.3542
20251006-0118,2025-10-06T11:57:18,espresso,1.4944
20251006-0119,2025-10-06T11:58:07,espresso,2.4037
20251006-0120,2025-10-06T12:01:45,drip,2.1919
20251006-0121,2025-10-06T12:09:17,blended,3.1834
20251006-0122,2025-10-06T12:19:54,espresso,3.8835
20251006-0123,2025-10-06T12:24:31,drip,2.3741
20251006-0124,2025-10-06T12:30:16,drip,2.1890
20251006-0125,2025-10-06T12:33:56,drip,2.5430
20251006-0126,2025-10-06T12:34:34,drip,1.2387
20251006-0127,2025-10-06T12:38:27,espresso,4.7143
20251006-0128,2025-10-06T12:39:01,espresso,2.3228
20251006-0129,2025-10-06T12:42:18,blended,4.6168
20251006-0130,2025-10-06T12:44:52,blended,7.6851
20251006-0131,2025-10-06T12:46:03,drip,1.8013
20251006-0132,2025-10-06T12:48:25,blended,4.4971
20251006-0133,2025-10-06T12:51:26,blended,3.3051
20251006-0134,2025-10-06T12:52:12,espresso,6.2016
20251006-0135,2025-10-06T12:53:36,espresso,2.4054
20251006-0136,2025-10-06T12:55:00,espresso,4.1532
20251006-0137,2025-10-06T12:55:23,espresso,5.1417
20251006-0138,2025-10-06T12:56:21,espresso,4.3017
20251006-0139,2025-10-06T12:59:46,drip,2.2305
20251006-0140,2025-10-06T13:01:12,espresso,3.4187
20251006-0141,2025-10-06T13:21:54,drip,1.3717
20251006-0142,2025-10-06T13:37:55,espresso,6.0809
20251006-0143,2025-10-06T13:41:50,espresso,3.6303
20251006-0144,2025-10-06T13:44:00,espresso,3.3342
20251006-0145,2025-10-06T13:52:57,drip,1.4506
20251006-0146,2025-10-06T14:21:57,drip,2.0506
20251006-0147,2025-10-06T14:36:23,blended,4.4134
20251006-0148,2025-10-06T14:39:38,drip,3.4531
20251006-0149,2025-10-06T14:44:03,espresso,3.3334
20251006-0150,2025-10-06T14:51:21,blended,4.5415
20251006-0151,2025-10-06T14:56:21,espresso,2.2731
20251006-0152,2025-10-06T14:58:31,drip,1.6099
20251006-0153,2025-10-06T15:08:13,espresso,3.9706
20251006-0154,2025-10-06T15:08:39,espresso,1.7765
20251006-0155,2025-10-06T15:12:46,drip,2.7148
20251006-0156,2025-10-06T15:14:57,drip,2.7394
20251006-0157,2025-10-06T15:17:17,drip,1.5628
20251006-0158,2025-10-06T15:28:27,espresso,3.7457
20251006-0159,2025-10-06T15:39:14,espresso,5.2099
20251006-0160,2025-10-06T15:45:05,espresso,3.1700
20251006-0161,2025-10-06T15:46:20,blended,4.0725
20251006-0162,2025-10-06T15:51:51,espresso,3.0934
20251006-0163,2025-10-06T15:53:17,espresso,3.6274
20251006-0164,2025-10-06T16:00:42,espresso,2.6649
20251006-0165,2025-10-06T16:01:41,blended,3.9725
20251006-0166,2025-10-06T16:07:36,espresso,3.6533
20251006-0167,2025-10-06T16:09:58,blended,3.8792
20251006-0168,2025-10-06T16:10:27,drip,1.4210
20251006-0169,2025-10-06T16:17:21,espresso,1.7304
20251006-0170,2025-10-06T16:17:59,blended,4.5235
20251006-0171,2025-10-06T16:39:21,espresso,5.0782
20251006-0172,2025-10-06T16:42:38,espresso,3.8136
20251006-0173,2025-10-06T16:44:25,espresso,2.2373
20251006-0174,2025-10-06T16:45:25,blended,3.5756
20251006-0175,2025-10-06T16:49:03,espresso,2.9618
20251006-0176,2025-10-06T16:56:01,drip,3.4946
20251007-0000,2025-10-07T07:00:06,drip,1.7988
20251007-0001,2025-10-07T07:04:06,blended,3.9626
20251007-0002,2025-10-07T07:04:28,espresso,2.9089
20251007-0003,2025-10-07T07:05:14,drip,1.1973
20251007-0004,2025-10-07T07:09:07,espresso,2.9070
20251007-0005,2025-10-07T07:11:19,drip,1.4361
20251007-0006,2025-10-07T07:13:04,drip,2.9262
20251007-0007,2025-10-07T07:17:24,espresso,1.9539
20251007-0008,2025-10-07T07:17:46,blended,5.0605
20251007-0009,2025-10-07T07:19:06,blended,4.4491
20251007-0010,2025-10-07T07:20:22,espresso,4.0335
20251007-0011,2025-10-07T07:27:21,espresso,3.6764
20251007-0012,2025-10-07T07:30:48,blended,6.4741
20251007-0013,2025-10-07T07:31:14,espresso,2.9710
20251007-0014,2025-10-07T07:31:34,espresso,1.7982
20251007-0015,2025-10-07T07:32:30,espresso,5.1401
20251007-0016,2025-10-07T07:32:56,drip,2.2276
20251007-0017,2025-10-07T07:33:52,espresso,2.6243
20251007-0018,2025-10-07T07:34:06,espresso,2.7459
20251007-0019,2025-10-07T07:35:54,drip,1.1487
20251007-0020,2025-10-07T07:36:21,blended,5.3698
20251007-0021,2025-10-07T07:36:50,espresso,4.0610
20251007-0022,2025-10-07T07:44:51,blended,6.3902
20251007-0023,2025-10-07T07:48:14,drip,1.8942
20251007-0024,2025-10-07T07:52:31,drip,1.6918
20251007-0025,2025-10-07T07:52:39,espresso,3.6312
20251007-0026,2025-10-07T07:53:16,espresso,3.3099
20251007-0027,2025-10-07T07:54:12,drip,1.7760
20251007-0028,2025-10-07T07:57:42,espresso,1.9179
20251007-0029,2025-10-07T07:59:35,blended,6.7556
20251007-0030,2025-10-07T07:59:36,drip,3.9306
20251007-0031,2025-10-07T08:00:17,espresso,4.6641
20251007-0032,2025-10-07T08:03:39,espresso,3.0770
20251007-0033,2025-10-07T08:15:00,espresso,3.8064
20251007-0034,2025-10-07T08:15:51,espresso,3.5376
20251007-0035,2025-10-07T08:17:06,espresso,4.4307
20251007-0036,2025-10-07T08:18:58,drip,2.4508
20251007-0037,2025-10-07T08:20:13,drip,1.8566
20251007-0038,2025-10-07T08:23:33,drip,1.5520
20251007-0039,2025-10-07T08:27:58,espresso,3.6072
20251007-0040,2025-10-07T08:28:24,espresso,2.8463
20251007-0041,2025-10-07T08:29:59,blended,3.0827
20251007-0042,2025-10-07T08:30:12,espresso,2.6310
20251007-0043,2025-10-07T08:30:33,drip,1.3268
20251007-0044,2025-10-07T08:31:49,drip,1.9286
20251007-0045,2025-10-07T08:32:33,drip,4.0460
20251007-0046,2025-10-07T08:32:44,espresso,2.9823
20251007-0047,2025-10-07T08:34:14,espresso,2.9626
20251007-0048,2025-10-07T08:36:55,blended,4.3424
20251007-0049,2025-10-07T08:39:32,espresso,5.5484
20251007-0050,2025-10-07T08:40:18,espresso,7.4250
20251007-0051,2025-10-07T08:41:50,espresso,6.2019
20251007-0052,2025-10-07T08:42:17,espresso,4.6508
20251007-0053,2025-10-07T08:42:48,blended,3.4690
20251007-0054,2025-10-07T08:43:35,espresso,4.6926
20251007-0055,2025-10-07T08:49:17,espresso,2.1165
20251007-0056,2025-10-07T08:50:21,espresso,2.0148
20251007-0057,2025-10-07T08:52:07,espresso,3.4498
20251007-0058,2025-10-07T08:53:39,drip,2.0057
20251007-0059,2025-10-07T08:56:24,espresso,3.1057
20251007-0060,2025-10-07T09:06:05,drip,3.7765
20251007-0061,2025-10-07T09:10:31,blended,3.9860
20251007-0062,2025-10-07T09:15:07,drip,2.3048
20251007-0063,2025-10-07T09:19:57,espresso,3.4560
20251007-0064,2025-10-07T09:23:59,espresso,4.3587
20251007-0065,2025-10-07T09:24:20,drip,2.6206
20251007-0066,2025-10-07T09:25:54,espresso,3.7245
20251007-0067,2025-10-07T09:34:53,drip,1.6738
20251007-0068,2025-10-07T09:42:24,drip,1.6707
20251007-0069,2025-10-07T09:49:46,espresso,2.9336
20251007-0070,2025-10-07T10:02:20,espresso,3.7172
20251007-0071,2025-10-07T10:05:56,espresso,4.2597
20251007-0072,2025-10-07T10:09:16,espresso,2.7232
20251007-0073,2025-10-07T10:12:14,drip,2.9968
20251007-0074,2025-10-07T10:12:31,drip,1.8898
20251007-0075,2025-10-07T10:15:41,espresso,1.5880
20251007-0076,2025-10-07T10:21:22,espresso,6.6801
20251007-0077,2025-10-07T10:22:47,drip,2.0552
20251007-0078,2025-10-07T10:32:22,espresso,4.5424
20251007-0079,2025-10-07T10:36:41,espresso,1.8426
20251007-0080,2025-10-07T10:41:48,espresso,2.5852
20251007-0081,2025-10-07T10:45:50,espresso,2.9733
20251007-0082,2025-10-07T10:53:09,blended,3.0636
20251007-0083,2025-10-07T10:55:48,espresso,3.0589
20251007-0084,2025-10-07T10:59:09,blended,3.9458
20251007-0085,2025-10-07T11:00:23,espresso,5.0505
20251007-0086,2025-10-07T11:02:17,drip,1.0614
20251007-0087,2025-10-07T11:02:51,espresso,4.0325
20251007-0088,2025-10-07T11:02:53,espresso,4.6810
20251007-0089,2025-10-07T11:02:53,blended,8.1876
20251007-0090,2025-10-07T11:04:00,drip,2.5213
20251007-0091,2025-10-07T11:09:49,blended,3.3903
20251007-0092,2025-10-07T11:10:15,blended,4.1443
20251007-0093,2025-10-07T11:13:19,espresso,3.6072
20251007-0094,2025-10-07T11:19:04,drip,3.0318
20251007-0095,2025-10-07T11:19:48,blended,2.6268
20251007-0096,2025-10-07T11:20:56,espresso,4.0266
20251007-0097,2025-10-07T11:37:48,drip,1.2585
20251007-0098,2025-10-07T11:41:50,drip,1.6913
20251007-0099,2025-10-07T11:44:14,espresso,2.0512
20251007-0100,2025-10-07T11:50:27,espresso,2.5728
20251007-0101,2025-10-07T11:50:48,drip,2.5670
20251007-0102,2025-10-07T11:55:58,drip,1.7903
20251007-0103,2025-10-07T12:00:31,drip,1.5762
20251007-0104,2025-10-07T12:02:02,blended,3.3802
20251007-0105,2025-10-07T12:03:15,drip,1.4204
20251007-0106,2025-10-07T12:05:59,drip,2.5066
20251007-0107,2025-10-07T12:10:50,espresso,3.3494
20251007-0108,2025-10-07T12:16:11,espresso,3.7417
20251007-0109,2025-10-07T12:23:43,espresso,1.9962
20251007-0110,2025-10-07T12:24:23,drip,2.0316
20251007-0111,2025-10-07T12:25:19,espresso,1.5296
20251007-0112,2025-10-07T12:29:49,drip,2.8774
20251007-0113,2025-10-07T12:30:29,espresso,4.0252
20251007-0114,2025-10-07T12:30:31,drip,1.9429
20251007-0115,2025-10-07T12:31:19,espresso,1.4615
20251007-0116,2025-10-07T12:32:31,drip,1.4986
20251007-0117,2025-10-07T12:33:44,espresso,2.0437
20251007-0118,2025-10-07T12:37:29,blended,4.2540
20251007-0119,2025-10-07T12:40:52,espresso,3.7897
20251007-0120,2025-10-07T12:42:51,espresso,3.7147
20251007-0121,2025-10-07T12:47:11,blended,7.1946
20251007-0122,2025-10-07T12:49:25,espresso,3.2569
20251007-0123,2025-10-07T12:52:54,drip,2.9428
20251007-0124,2025-10-07T13:06:40,drip,1.8336
20251007-0125,2025-10-07T13:12:20,espresso,3.9663
20251007-0126,2025-10-07T13:17:20,espresso,3.0766
20251007-0127,2025-10-07T13:26:41,blended,4.8864
20251007-0128,2025-10-07T13:29:00,drip,1.9882
20251007-0129,2025-10-07T13:57:38,drip,1.6431
20251007-0130,2025-10-07T14:08:21,espresso,9.2072
20251007-0131,2025-10-07T14:09:33,blended,4.9392
20251007-0132,2025-10-07T14:18:01,drip,2.3946
20251007-0133,2025-10-07T14:26:48,espresso,4.3347
20251007-0134,2025-10-07T14:27:41,drip,2.1334
20251007-0135,2025-10-07T14:31:25,blended,2.2182
20251007-0136,2025-10-07T14:33:42,drip,2.2536
20251007-0137,2025-10-07T14:35:03,blended,3.1082
20251007-0138,2025-10-07T14:37:01,espresso,3.4941
20251007-0139,2025-10-07T14:46:09,drip,2.1922
20251007-0140,2025-10-07T14:50:50,blended,2.6391
20251007-0141,2025-10-07T14:53:10,espresso,3.3298
20251007-0142,2025-10-07T14:54:42,espresso,1.9840
20251007-0143,2025-10-07T15:11:11,blended,2.1723
20251007-0144,2025-10-07T15:13:19,drip,1.2871
20251007-0145,2025-10-07T15:20:01,espresso,3.1845
20251007-0146,2025-10-07T15:20:06,espresso,3.1189
20251007-0147,2025-10-07T15:20:45,espresso,2.7807
20251007-0148,2025-10-07T15:22:10,drip,2.3653
20251007-0149,2025-10-07T15:24:56,espresso,3.0564
20251007-0150,2025-10-07T15:31:08,drip,2.2627
20251007-0151,2025-10-07T15:39:50,blended,5.6155
20251007-0152,2025-10-07T15:42:13,blended,9.1714
20251007-0153,2025-10-07T15:45:48,espresso,3.2029
20251007-0154,2025-10-07T16:05:53,espresso,5.0379
20251007-0155,2025-10-07T16:09:51,drip,2.1537
20251007-0156,2025-10-07T16:12:30,blended,4.8773
20251007-0157,2025-10-07T16:21:08,espresso,3.2179
20251007-0158,2025-10-07T16:48:26,blended,4.6671
20251007-0159,2025-10-07T16:51:08,espresso,3.0661
20251007-0160,2025-10-07T16:56:39,espresso,4.6926
20251008-0000,2025-10-08T07:03:54,blended,2.6587
20251008-0001,2025-10-08T07:06:12,blended,4.3209
20251008-0002,2025-10-08T07:06:16,espresso,6.7115
20251008-0003,2025-10-08T07:08:33,espresso,4.2808
20251008-0004,2025-10-08T07:11:53,drip,1.4922
20251008-0005,2025-10-08T07:12:39,drip,2.1210
20251008-0006,2025-10-08T07:13:43,drip,1.9077
20251008-0007,2025-10-08T07:13:58,espresso,3.0793
20251008-0008,2025-10-08T07:14:39,espresso,2.7488
20251008-0009,2025-10-08T07:16:55,espresso,3.4273
20251008-0010,2025-10-08T07:16:59,espresso,4.8467
20251008-0011,2025-10-08T07:19:58,espresso,2.8302
20251008-0012,2025-10-08T07:25:47,espresso,4.1115
20251008-0013,2025-10-08T07:26:01,espresso,4.3782
20251008-0014,2025-10-08T07:27:11,blended,6.6029
20251008-0015,2025-10-08T07:27:40,drip,1.5528
20251008-0016,2025-10-08T07:28:59,drip,2.0206
20251008-0017,2025-10-08T07:32:10,espresso,2.6452
20251008-0018,2025-10-08T07:34:18,blended,4.6080
20251008-0019,2025-10-08T07:35:21,espresso,3.4216
20251008-0020,2025-10-08T07:35:47,blended,3.2223
20251008-0021,2025-10-08T07:43:51,drip,2.1070
20251008-0022,2025-10-08T07:44:28,drip,3.8797
20251008-0023,2025-10-08T07:45:12,espresso,3.9345
20251008-0024,2025-10-08T07:45:12,drip,1.3688
20251008-0025,2025-10-08T07:54:07,espresso,2.4032
20251008-0026,2025-10-08T07:57:09,drip,1.9903
20251008-0027,2025-10-08T08:01:08,espresso,2.4209
20251008-0028,2025-10-08T08:05:01,drip,2.9119
20251008-0029,2025-10-08T08:06:05,espresso,2.0385
20251008-0030,2025-10-08T08:07:16,espresso,3.9444
20251008-0031,2025-10-08T08:10:37,drip,1.2528
20251008-0032,2025-10-08T08:13:11,drip,1.9810
20251008-0033,2025-10-08T08:13:21,espresso,2.3099
20251008-0034,2025-10-08T08:14:44,espresso,4.2051
20251008-0035,2025-10-08T08:21:17,espresso,4.7675
20251008-0036,2025-10-08T08:23:08,espresso,3.7292
20251008-0037,2025-10-08T08:25:09,espresso,4.8530
20251008-0038,2025-10-08T08:25:46,blended,2.1964
20251008-0039,2025-10-08T08:33:49,drip,2.0990
20251008-0040,2025-10-08T08:38:43,drip,2.3240
20251008-0041,2025-10-08T08:40:09,drip,2.4170
20251008-0042,2025-10-08T08:41:02,espresso,1.7398
20251008-0043,2025-10-08T08:41:41,blended,5.0780
20251008-0044,2025-10-08T08:42:44,drip,2.4336
20251008-0045,2025-10-08T08:43:04,drip,2.0919
20251008-0046,2025-10-08T08:43:38,blended,3.0544
20251008-0047,2025-10-08T08:43:44,drip,1.7092
20251008-0048,2025-10-08T08:47:40,espresso,5.1158
20251008-0049,2025-10-08T08:47:51,espresso,4.8877
20251008-0050,2025-10-08T08:47:57,drip,2.3107
20251008-0051,2025-10-08T08:51:51,espresso,4.2381
20251008-0052,2025-10-08T08:53:25,espresso,4.6639
20251008-0053,2025-10-08T08:56:00,drip,2.3025
20251008-0054,2025-10-08T08:59:28,drip,2.8887
20251008-0055,2025-10-08T09:06:13,drip,2.8562
20251008-0056,2025-10-08T09:11:44,drip,4.3569
20251008-0057,2025-10-08T09:16:29,blended,3.8489
20251008-0058,2025-10-08T09:16:40,drip,1.7383
20251008-0059,2025-10-08T09:18:32,blended,1.9566
20251008-0060,2025-10-08T09:23:07,espresso,3.7783
20251008-0061,2025-10-08T09:23:13,espresso,6.5364
20251008-0062,2025-10-08T09:24:50,espresso,5.2167
20251008-0063,2025-10-08T09:27:03,drip,2.5803
20251008-0064,2025-10-08T09:36:04,drip,3.0363
20251008-0065,2025-10-08T09:37:13,blended,5.2009
20251008-0066,2025-10-08T09:38:09,espresso,3.0015
20251008-0067,2025-10-08T09:52:49,espresso,7.2575
20251008-0068,2025-10-08T09:54:46,espresso,3.8452
20251008-0069,2025-10-08T09:56:44,espresso,4.9485
20251008-0070,2025-10-08T10:02:55,drip,0.9851
20251008-0071,2025-10-08T10:08:11,drip,1.0347
20251008-0072,2025-10-08T10:10:40,espresso,3.5230
20251008-0073,2025-10-08T10:14:49,espresso,2.4212
20251008-0074,2025-10-08T10:16:33,drip,2.1776
20251008-0075,2025-10-08T10:21:40,drip,1.7377
20251008-0076,2025-10-08T10:22:19,espresso,8.7461
20251008-0077,2025-10-08T10:22:58,drip,2.7589
20251008-0078,2025-10-08T10:24:51,drip,3.1388
20251008-0079,2025-10-08T10:24:56,espresso,1.6174
20251008-0080,2025-10-08T10:26:03,drip,2.5690
20251008-0081,2025-10-08T10:29:14,blended,4.2507
20251008-0082,2025-10-08T10:31:04,drip,3.1601
20251008-0083,2025-10-08T10:31:42,espresso,4.1705
20251008-0084,2025-10-08T10:58:26,espresso,3.2771
20251008-0085,2025-10-08T11:02:59,blended,3.1407
20251008-0086,2025-10-08T11:05:27,drip,2.1065
20251008-0087,2025-10-08T11:05:44,drip,2.8944
20251008-0088,2025-10-08T11:09:12,blended,7.1778
20251008-0089,2025-10-08T11:11:48,blended,4.0322
20251008-0090,2025-10-08T11:12:51,espresso,8.0540
20251008-0091,2025-10-08T11:14:50,drip,2.8174
20251008-0092,2025-10-08T11:19:44,espresso,2.4373
20251008-0093,2025-10-08T11:19:53,blended,3.2214
20251008-0094,2025-10-08T11:21:42,drip,1.9456
20251008-0095,2025-10-08T11:27:50,drip,1.8105
20251008-0096,2025-10-08T11:29:42,espresso,3.9612
20251008-0097,2025-10-08T11:36:14,espresso,3.3700
20251008-0098,2025-10-08T11:36:50,espresso,3.0168
20251008-0099,2025-10-08T11:41:45,espresso,1.9416
20251008-0100,2025-10-08T11:51:00,espresso,4.2182
20251008-0101,2025-10-08T11:51:31,blended,2.7659
20251008-0102,2025-10-08T11:57:23,espresso,4.9189
20251008-0103,2025-10-08T11:58:24,espresso,1.6715
20251008-0104,2025-10-08T11:58:49,drip,1.2239
20251008-0105,2025-10-08T11:59:09,espresso,2.4336
20251008-0106,2025-10-08T12:00:53,espresso,2.8443
20251008-0107,2025-10-08T12:00:56,espresso,2.6499
20251008-0108,2025-10-08T12:01:52,espresso,2.8402
20251008-0109,2025-10-08T12:03:37,espresso,3.6635
20251008-0110,2025-10-08T12:05:34,espresso,2.4520
20251008-0111,2025-10-08T12:06:20,drip,2.1973
20251008-0112,2025-10-08T12:07:37,espresso,1.4473
20251008-0113,2025-10-08T12:08:17,espresso,2.4221
20251008-0114,2025-10-08T12:09:13,espresso,1.8295
20251008-0115,2025-10-08T12:13:12,espresso,4.8963
20251008-0116,2025-10-08T12:14:59,espresso,2.5581
20251008-0117,2025-10-08T12:19:32,espresso,4.1193
20251008-0118,2025-10-08T12:20:28,blended,2.5642
20251008-0119,2025-10-08T12:20:33,espresso,5.7114
20251008-0120,2025-10-08T12:23:07,drip,2.0757
20251008-0121,2025-10-08T12:27:19,drip,3.7889
20251008-0122,2025-10-08T12:27:39,blended,4.4591
20251008-0123,2025-10-08T12:31:25,drip,1.2755
20251008-0124,2025-10-08T12:31:50,espresso,2.3247
20251008-0125,2025-10-08T12:33:02,espresso,3.0498
20251008-0126,2025-10-08T12:35:45,blended,3.3370
20251008-0127,2025-10-08T12:36:05,espresso,4.7041
20251008-0128,2025-10-08T12:39:20,blended,4.5770
20251008-0129,2025-10-08T12:41:52,espresso,2.3630
20251008-0130,2025-10-08T12:45:27,drip,2.5749
20251008-0131,2025-10-08T12:45:43,espresso,2.9106
20251008-0132,2025-10-08T12:46:41,espresso,4.3455
20251008-0133,2025-10-08T12:52:10,blended,3.8170
20251008-0134,2025-10-08T12:52:15,drip,2.3687
20251008-0135,2025-10-08T12:58:03,blended,3.9624
20251008-0136,2025-10-08T13:02:02,espresso,4.7048
20251008-0137,2025-10-08T13:15:26,espresso,1.7422
20251008-0138,2025-10-08T13:16:20,drip,1.3801
20251008-0139,2025-10-08T13:22:05,blended,4.2786
20251008-0140,2025-10-08T13:26:14,drip,1.6310
20251008-0141,2025-10-08T13:48:24,drip,1.7645
20251008-0142,2025-10-08T13:51:27,espresso,4.1857
20251008-0143,2025-10-08T14:02:45,espresso,2.8254
20251008-0144,2025-10-08T14:18:29,drip,2.2218
20251008-0145,2025-10-08T14:19:34,blended,3.4134
20251008-0146,2025-10-08T14:23:54,espresso,1.6306
20251008-0147,2025-10-08T14:28:52,espresso,4.3351
20251008-0148,2025-10-08T14:33:09,drip,3.4728
20251008-0149,2025-10-08T14:44:47,espresso,3.5827
20251008-0150,2025-10-08T14:45:08,espresso,3.2056
